OMA00007__SCER|YHR165C
OMA07986__Batde5|estExt_Genewise1Plus.C_130042
OMA08019__DEBHA|Q6BWQ9
OMA08057__CCIN|CC1G_11235
OMA08074__Batde5|GP3.041010
OMA08116__Batde5|estExt_Genewise1.C_110035
OMA08119__ANID|AN1126
OMA08123__LEPMJ|E5R4Y4
OMA08173__LEPMJ|E5A5T2
OMA08229__CCIN|CC1G_05568
OMA08322__BAUCO|M2NMT4
OMA08363__DEBHA|Q6BH96
OMA08375__Rhior3|RO3G_08513
OMA08376__PCON|PCON_02856
OMA08380__DEBHA|Q6BMP8
OMA08423__MUCC1|S2J6D1
OMA08470__LEPMJ|E5A1Q6
OMA08490__Rhior3|RO3G_08199
OMA08503__MACPH|K2SWB1
OMA08593__Batde5|estExt_Genewise1Plus.C_70348
OMA08698__MALGO|A8PQZ2
OMA08802__PGRA|PGTG_09630
OMA08830__MUCC1|S2JKV5
OMA08845__BAUCO|M2NC05
OMA08852__ANID|AN5832
OMA08859__BAUCO|M2M1Z6
OMA08886__MUCC1|S2JGN5
OMA09008__Batde5|estExt_fgenesh1_kg.C_10010
OMA09009__NIRR|NEOLI_002319T0
OMA09013__SCER|YKR014C
OMA09096__DEBHA|Q6BM00
OMA09227__SCER|YNL090W
OMA09261__CCIN|CC1G_05302
OMA09312__ARTOA|G1XNW7
OMA09316__PGRA|PGTG_00154
OMA09338__BAUCO|M2LPX5
OMA09400__DEBHA|Q6BNR3
OMA09403__SCER|YCR027C
OMA09477__ANID|AN2503
OMA09586__Batde5|e_gw1.1.973.1
OMA09619__NCRA|NCU01453
OMA09695__ARTOA|G1XTN1
OMA09735__PGRA|PGTG_04728
OMA09954__MYCGM|F9XCB2
OMA09958__ARTOA|G1XJW4
OMA09973__NIRR|NEOLI_003434T0
OMA10116__ANID|AN12112
OMA10254__ANID|AN0785
OMA10279__CCIN|CC1G_05488
OMA10331__NIRR|NEOLI_000992T0
OMA10386__Rhior3|RO3G_12313
OMA10416__Batde5|e_gw1.1.1290.1
OMA10433__ARTOA|G1XC73
OMA10461__SCER|YBR082C
OMA10471__DEBHA|Q6BQU4
OMA10524__SCER|YLR306W
OMA10575__Batde5|estExt_Genewise1Plus.C_80347
OMA10649__ANID|AN1795
OMA10674__Batde5|e_gw1.1.903.1
OMA10770__PCON|PCON_11974
OMA10795__Batde5|GP3.063960
OMA10796__NIRR|NEOLI_003321T0
OMA10900__CCIN|CC1G_03119
OMA10951__ARTOA|G1X8A2
OMA10977__SPOM|SPCC364.03
OMA11015__Rhior3|RO3G_08554
OMA11097__SCHCM|D8PPZ0
OMA11117__UMAY|um01371.2
OMA11199__ARTOA|G1WY72
OMA11209__Sclsc1|SS1G_04298T0
OMA11412__Batde5|GP3.017340
OMA11899__MALGO|A8PS30
OMA11965__NCRA|NCU07264
OMA12075__Rhior3|RO3G_04390
OMA12277__MALGO|A8Q091
OMA12335__LACBI|B0D181
OMA12559__MYCGM|F9XB63
OMA12606__MALGO|A8PUM3
OMA12644__LEPMJ|E5A646
OMA12647__MALGO|A8PSR8
OMA12778__CCIN|CC1G_03522
OMA12869__Rhior3|RO3G_16446
OMA13341__Batde5|e_gw1.2.505.1
OMA13373__NCRA|NCU01331
OMA13540__Rhior3|RO3G_02634
OMA13565__MUCC1|S2J8A1
OMA14017__Rhior3|RO3G_12624
OMA14071__Batde5|GP3.022270
OMA14103__CCIN|CC1G_03575
OMA14175__DEBHA|Q6BRG3
OMA14680__MUCC1|S2K2D9
OMA14875__SCER|YDR328C
OMA14909__NIRR|NEOLI_005420T0
OMA15332__MALGO|A8PSA1
OMA15849__DEBHA|Q6BNC3
OMA16269__Rhior3|RO3G_08123
OMA16337__Batde5|fgenesh1_pm.C_scaffold_1000207
OMA17996__LACBI|B0DFU7
