Species	index	cegma	busco	fgmp_fUCEs_est	fgmp_Protein_est	numSeqs	totalLength	maxLength	n50	n90	gcPercent	numNs
Allomyces_macrogynus_ATCC_38327.v3	G.96	96.975	86	82.6	93.8	101	57060573	3145054	1114524	357256	61.6	4435629
Malassezia_globosa	G.120	96.975	89	88.4	96	38	8930003	1406286	654612	194297	52.1	20
Amanita_muscaria_Koide.Amamu1.v1	G.132	96.975	88	91.3	92.1	1101	40699759	1491530	168151	21539	47.5	4869883
Fistulina_hepatica_ATCC_64428.Fishe1.v1	G.140	96.975	90	93.6	91.6	588	33847808	1553176	349856	51077	50.2	340648
Exobasidium_vaccinii_MPITM.Exova1.v1	G.189	96.975	93.5	90.1	95.4	119	16990195	1971773	1515914	386399	43.5	112592
Batrachochytrium_dendrobatidis_JAM81.Batde5.v1	G.83	96.775	81	81.4	91.6	127	24315081	4429270	1484462	561733	39.3	184767
Trichosporon_asahii_var._asahii_CBS_8904	G.100	96.775	92.1	86	92.6	98	25036094	4348789	3223897	791071	59.5	246473
Piriformospora_indica_DSM_11827.Pirin1	G.364	96.775	90	92.4	92.6	1884	24979981	254007	51544	6453	50.7	212103
Wallemia_sebi_CBS_633.66.Walse1.v1	G.12	96.575	87	83.1	95.1	56	9815586	900750	337420	121297	40	17171
Rhizopogon_salebrosus_TDB-379.Rhisa1.v1	G.121	96.57	94.8	91.9	93.6	1976	82288552	664539	106002	29667	48.8	39465400
Rhizoctonia_solani_AG-1_IA	G.198	96.57	88	91.9	91.4	398	34529833	4751343	477375	85134	47.7	2180315
Paxillus_involutus_ATCC_200175.Paxin1.v1	G.142	96.37	90.1	91.3	91.6	2681	58301126	2811131	381094	6382	50.2	9200271
Exidia_glandulosa_HHB12029.Exigl1.v1	G.203	96.37	94.4	90.7	94.1	1727	78171509	1669733	117273	28364	56.7	6464468
Sebacina_vermifera_MAFF_305830.Sebve1.v1	G.224	96.37	90	93	92.1	546	38094242	1897233	319304	53318	48.9	2625973
Spizellomyces_punctatus_DAOM_BR117.v1	G.260	96.37	76	89.5	90.1	38	24131112	2242449	1465700	511319	47.6	225111
Rhizophagus_irregularis_DAOM_181602.Gloin1.v1	G.361	96.17	89	87.2	92.7	28371	91083792	57883	4186	1468	27.7	270422
Catenaria_anguillulae_PL171.Catan1.v1	G.99	95.965	84	83.1	97.6	801	36224255	811185	159537	25729	55.9	3214748
Botrytis_cinerea_B05.10	G.214	95.965	96.2	98.8	98.3	466	42307476	1306028	261568	83170	43.1	3759004
Sporobolomyces_linderae_CBS_7893.Spoli1.v1	G.342	95.965	82	87.2	89.9	35	18244034	2968925	2010320	657929	67.6	19545
Sporobolomyces_roseus_CBS_119925.Sporo1.v1	G.353	95.765	92.4	88.4	88.7	76	21172659	4069798	2221203	768106	53.8	331948
Tritirachium_sp_CBS_265.96.Trisp1.v1	G.76	95.36	83	89	93.1	110	18890683	2015224	967331	371675	39.7	121250
Archaeorhizomyces_finlayi_CBS_128710.v2	G.278	95.36	64	93.6	94.8	1205	22539405	361652	37413	8384	47.7	90290
Puccinia_graminis_f._sp._tritici_CRL_75-36-700-3	G.144	94.755	84	86.6	91.1	333	88170162	3081398	964966	191896	43.4	7118874
Ajellomyces_capsulatus_NAm1	G.351	92.74	96.3	93.6	93.1	167	32782735	7343276	2885091	1161879	46.2	2348527
Lichtheimia_corymbifera_FSU_9682	G.89	92.135	87	91.9	91.9	207	33525905	1313670	367562	89548	43.4	2554422
Tulasnella_calospora_AL13-4D.Tulca1.v1	G.293	92.135	85	90.7	91.2	1335	62392858	927182	159819	25392	51.4	10352002
Sphaerobolus_stellatus_SS14.Sphst1.v1	G.354	90.925	90	89.5	90.7	1460	176372157	3052012	584971	101837	44.4	54060460
Ophiostoma_piliferum	G.305	90.725	93.8	94.2	98	3462	27257965	244303	28246	3659	55	797873
Conidiobolus_coronatus_NRRL_28638.Conco1.v1	G.182	90.525	83	84.9	93.9	1050	39903661	546290	102411	19422	27.7	8192914
Pneumocystis_jirovecii_SE8	G.359	89.315	63	68.6	92.6	327	8133318	127942	41631	14022	28.4	4
Rozella_allomycis_CSF55	G.261	87.905	19	62.2	76.7	597	11247879	719121	60658	7883	34.8	122985
Ascosphaera_apis_ARSEF_7405.v1	G.265	83.265	90	84.9	94.1	747	19938029	197521	47482	11814	47.6	726562
Orpinomyces_sp_C1A.Orpsp1_1	G.352	71.17	61	68.6	81.3	32574	100954185	23289	3373	1829	17	0
Piromyces_sp_E2.PirE2_1.v1	G.204	60.285	54	68	78.6	1656	71019055	835036	144455	28633	21.8	28230508
Encephalitozoon_cuniculi_GB-M1.Enccu1	G.112	46.17	27	31.4	46.7	11	2497519	267509	220294	197426	47.3	805
Encephalitozoon_hellem_ATCC_50504.Enche1	G.152	45.965	27	30.2	48.6	12	2251784	240865	200132	161584	43.4	0
Antonospora_locustae_HM-2013.Antlo1	G.10	45.565	23	40.1	50.4	3116	6074860	66173	2359	883	47.4	0
Encephalitozoon_romaleae_SJ-2008.Encro1	G.64	45.565	26	28.5	47.7	13	2187595	231554	194799	96871	40.4	8
Encephalitozoon_intestinalis_ATCC_50506.Encin1	G.212	45.365	28	29.1	46.5	11	2216898	236244	204910	175776	41.5	100
Nosema_ceranae_BRL01.Nosce1	G.255	41.935	9	26.7	48.1	5465	7860219	65607	2902	567	25.3	0
Nematocida_parisii_ERTm1.Nempa1	G.16	38.51	18	32.6	37.3	65	4071346	954566	649559	165274	34.4	42290
Enterocytozoon_bieneusi_H348.Entbi1	G.175	29.035	5	18	34.9	1733	3860738	204096	1983	1103	33.7	1517
